form_id,lexeme,cell,source_form,orth_form,analysed_orth_form,phon_form,analysed_phon_form,epistemic_tag,variants_tag,analysis_tag,overabundance_tag,source,page,language_id
komsaikul016,hmu,1.sg.3.pl.fut.aff,ka-hmu-sik-hei,ka-Σ-sik-hei,ka+Σ+sik+hei,k a Σ s i k h ei,k a + Σ + s i k + h ei,elicited,unspecified,,,Kanshouwa2026SaikulKom,nopage,komsaikul
komsaikul017,hmu,1.pl.incl.3.sg.fut.aff,ni-hmu-sik,ni-Σ-sik,ni+Σ+sik,n i Σ s i k,n i + Σ + s i k,elicited,unspecified,,,Kanshouwa2026SaikulKom,nopage,komsaikul
komsaikul018,hmu,1.pl.excl.3.sg.fut.aff,kan-hmu-sik,kan-Σ-sik,ka+n+Σ+sik,k a n Σ s i k,k a + n + Σ + s i k,elicited,unspecified,,,Kanshouwa2026SaikulKom,nopage,komsaikul
komsaikul019,hmu,1.pl.incl.3.pl.fut.aff,ni-hmu-sik-hei,ni-Σ-sik-hei,ni+Σ+sik+hei,n i Σ s i k h ei,n i + Σ + s i k + h ei,elicited,unspecified,,,Kanshouwa2026SaikulKom,nopage,komsaikul
komsaikul020,hmu,1.pl.excl.3.pl.fut.aff,kan-hmu-sik-hei,kan-Σ-sik-hei,ka+n+Σ+sik+hei,k a n Σ s i k h ei,k a + n + Σ + s i k + h ei,elicited,unspecified,,,Kanshouwa2026SaikulKom,nopage,komsaikul
komsaikul021,se,2.sg.fut.aff,ka-se-sik-che,ka-Σ-sik-che,ka+Σ+sik+che,k a Σ s i k tʃ e,k a + Σ + s i k + tʃ e,elicited,unspecified,,,Kanshouwa2026SaikulKom,nopage,komsaikul
komsaikul022,se,2.pl.fut.aff,ka-se-sik-chei,ka-Σ-sik-chei,ka+Σ+sik+chei,k a Σ s i k tʃ ei,k a + Σ + s i k + tʃ ei,elicited,unspecified,,,Kanshouwa2026SaikulKom,nopage,komsaikul
komsaikul023,hmu,2.sg.1.sg.fut.aff,na-hmu-sik-eng,na-Σ-sik-eng,na+Σ+sik+eng,n a Σ s i k e ŋ,n a + Σ + s i k + e ŋ,elicited,unspecified,,,Kanshouwa2026SaikulKom,nopage,komsaikul
komsaikul024,hmu,2.sg.1.pl.excl.fut.aff,na-hmu-sik-ung,na-Σ-sik-ung,na+Σ+sik+ung,n a Σ s i k u ŋ,n a + Σ + s i k + u ŋ,elicited,unspecified,,,Kanshouwa2026SaikulKom,nopage,komsaikul
komsaikul025,hmu,2.pl.1.sg.fut.aff,nan-hmu-sik-eng,nan-Σ-sik-eng,na+n+Σ+sik+eng,n a n Σ s i k e ŋ,n a + n + Σ + s i k + e ŋ,elicited,unspecified,,,Kanshouwa2026SaikulKom,nopage,komsaikul
